행 ID,주문 ID,주문 날짜,배송 날짜,배송 형태,고객 ID,고객 이름,세그먼트,도시,시/도,국가/지역,지역,제품 ID,범주,하위 범주,제품 이름,매출,수량,할인율,수익
227,IN-2021-39735,2021-03-17,2021-03-22,2등급,BE-11455,Brad Eason,홈 오피스,Sydney,New South Wales,Australia,오세아니아,TEC-CO-10003777,기술,복사기,"Hewlett Copy Machine, Color",3299.562,14,0.1,366.282
228,IN-2021-39735,2021-03-17,2021-03-22,2등급,BE-11455,Brad Eason,홈 오피스,Sydney,New South Wales,Australia,오세아니아,OFF-BI-10000373,사무용품,바인더,"Ibico Hole Reinforcements, Economy",37.746,6,0.1,0.666
229,ID-2021-61169,2021-12-12,2021-12-16,표준 등급,EB-13930,Eric Barreto,일반 소비자,Jakarta,Jakarta,Indonesia,동남아시아,OFF-EN-10002700,사무용품,봉투,"Kraft Interoffice Envelope, with clear poly window",80.2314,3,0.47,-18.2286
230,IN-2019-40043,2019-08-09,2019-08-13,표준 등급,SF-20065,Sandra Flanagan,일반 소비자,Changzhou,Jiangsu,China,북아시아,TEC-CO-10004535,기술,복사기,"Hewlett Fax Machine, High-Speed",954.36,3,0,343.53
231,IN-2021-66965,2021-04-16,2021-04-21,표준 등급,EG-13900,Emily Grady,일반 소비자,Melbourne,Victoria,Australia,오세아니아,OFF-SU-10003897,사무용품,사무용품,"Stiletto Ruler, High Speed",93.744,7,0.1,14.574
232,IN-2021-66965,2021-04-16,2021-04-21,표준 등급,EG-13900,Emily Grady,일반 소비자,Melbourne,Victoria,Australia,오세아니아,TEC-MA-10001261,기술,사무기기,"Konica Printer, Wireless",1687.392,7,0.1,674.772
233,IN-2021-66965,2021-04-16,2021-04-21,표준 등급,EG-13900,Emily Grady,일반 소비자,Melbourne,Victoria,Australia,오세아니아,OFF-AP-10001503,사무용품,가전 제품,"KitchenAid Microwave, Black",1393.875,5,0.1,572.925
234,IN-2021-66965,2021-04-16,2021-04-21,표준 등급,EG-13900,Emily Grady,일반 소비자,Melbourne,Victoria,Australia,오세아니아,TEC-CO-10002674,기술,복사기,"Sharp Fax and Copier, High-Speed",750.6,5,0.1,-33.45
235,IN-2021-79698,2021-09-02,2021-09-06,표준 등급,EH-13945,Eric Hoffmann,일반 소비자,Kabul,Kabul,Afghanistan,중앙아시아,TEC-AC-10003407,기술,액세서리,"Memorex Mouse, Erganomic",155.88,6,0,21.78
236,IN-2021-56241,2021-11-11,2021-11-15,표준 등급,HZ-14950,Henia Zydlo,일반 소비자,Jaipur,Rajasthan,India,중앙아시아,TEC-PH-10001921,기술,전화기,"Nokia Signal Booster, with Caller ID",136.5,1,0,15
237,IN-2021-78438,2021-08-25,2021-08-25,당일,MC-17275,Marc Crier,일반 소비자,Yangon,Yangon,Myanmar (Burma),동남아시아,OFF-EN-10003540,사무용품,봉투,"Cameo Mailers, Set of 50",63.3456,2,0.17,16.7856
238,IN-2021-78438,2021-08-25,2021-08-25,당일,MC-17275,Marc Crier,일반 소비자,Yangon,Yangon,Myanmar (Burma),동남아시아,OFF-AR-10002109,사무용품,미술용품,"Binney & Smith Sketch Pad, Fluorescent",78.9828,2,0.17,10.4628
239,IN-2021-78438,2021-08-25,2021-08-25,당일,MC-17275,Marc Crier,일반 소비자,Yangon,Yangon,Myanmar (Burma),동남아시아,TEC-PH-10003075,기술,전화기,"삼성 Signal Booster, Full Size",457.7616,4,0.17,-82.8384
240,IN-2018-31398,2018-12-03,2018-12-03,당일,JD-16060,Julia Dunbar,일반 소비자,Changchun,Jilin,China,북아시아,OFF-LA-10003644,사무용품,레이블,"Novimex Removable Labels, Adjustable",23.31,3,0,4.86
241,IN-2018-31398,2018-12-03,2018-12-03,당일,JD-16060,Julia Dunbar,일반 소비자,Changchun,Jilin,China,북아시아,OFF-LA-10004918,사무용품,레이블,"Harbour Creations Round Labels, Alphabetical",13.14,2,0,1.26
242,IN-2018-31398,2018-12-03,2018-12-03,당일,JD-16060,Julia Dunbar,일반 소비자,Changchun,Jilin,China,북아시아,FUR-CH-10003551,가구,의자,"Hon Swivel Stool, Black",644.88,4,0,309.48
243,IN-2020-55576,2020-02-22,2020-02-28,표준 등급,LS-17230,Lycoris Saunders,일반 소비자,Nowra,New South Wales,Australia,오세아니아,TEC-MA-10004428,기술,사무기기,"Panasonic Card Printer, Durable",626.184,4,0.1,257.424
244,IN-2018-37481,2018-05-03,2018-05-06,2등급,RH-19495,Rick Hansen,일반 소비자,Jakarta,Jakarta,Indonesia,동남아시아,OFF-ST-10004365,사무용품,보관함,"Fellowes Shelving, Wire Frame",236.1765,5,0.17,85.2765
245,ID-2019-31118,2019-12-27,2019-12-29,2등급,TH-21550,Tracy Hopkins,홈 오피스,Bangkok,Bangkok,Thailand,동남아시아,OFF-AR-10002458,사무용품,미술용품,"Stanley Canvas, Easy-Erase",131.811,5,0.47,-24.939
246,ID-2019-31118,2019-12-27,2019-12-29,2등급,TH-21550,Tracy Hopkins,홈 오피스,Bangkok,Bangkok,Thailand,동남아시아,OFF-LA-10004894,사무용품,레이블,"Hon Shipping Labels, Alphabetical",17.7921,3,0.47,-0.7479
247,ID-2019-31118,2019-12-27,2019-12-29,2등급,TH-21550,Tracy Hopkins,홈 오피스,Bangkok,Bangkok,Thailand,동남아시아,OFF-LA-10002992,사무용품,레이블,"Novimex Removable Labels, 5000 Label Set",20.9244,4,0.47,-18.1956
248,ID-2019-31118,2019-12-27,2019-12-29,2등급,TH-21550,Tracy Hopkins,홈 오피스,Bangkok,Bangkok,Thailand,동남아시아,FUR-TA-10002972,가구,테이블,"Barricks Computer Table, Fully Assembled",1854.9297,9,0.57,-1294.3503
249,IN-2020-62835,2020-04-18,2020-04-23,표준 등급,MG-17680,Maureen Gastineau,홈 오피스,Shantou,Guangdong,China,북아시아,TEC-AC-10003776,기술,액세서리,"Belkin Flash Drive, Programmable",86.88,2,0,14.76
250,ID-2019-21787,2019-06-20,2019-06-25,표준 등급,DR-12940,Daniel Raglin,홈 오피스,Manila,Metro Manila,Philippines,동남아시아,OFF-AR-10001850,사무용품,미술용품,"BIC Highlighters, Fluorescent",11.1045,1,0.45,-6.4755
251,ID-2019-21787,2019-06-20,2019-06-25,표준 등급,DR-12940,Daniel Raglin,홈 오피스,Manila,Metro Manila,Philippines,동남아시아,OFF-ST-10002774,사무용품,보관함,"Rogers Lockers, Industrial",349.965,3,0.45,-280.035
252,ID-2019-21787,2019-06-20,2019-06-25,표준 등급,DR-12940,Daniel Raglin,홈 오피스,Manila,Metro Manila,Philippines,동남아시아,TEC-PH-10003348,기술,전화기,"Cisco Speaker Phone, with Caller ID",103.86,1,0.25,22.14
253,ID-2019-21787,2019-06-20,2019-06-25,표준 등급,DR-12940,Daniel Raglin,홈 오피스,Manila,Metro Manila,Philippines,동남아시아,TEC-MA-10002226,기술,사무기기,"Epson Phone, Red",117.18,2,0.25,-17.22
254,IN-2019-38713,2019-09-22,2019-09-27,표준 등급,SC-20770,Stewart Carmichael,기업,Durgapur,West Bengal,India,중앙아시아,TEC-AC-10004562,기술,액세서리,"Enermax Flash Drive, Programmable",86.04,2,0,3.42
255,IN-2019-38713,2019-09-22,2019-09-27,표준 등급,SC-20770,Stewart Carmichael,기업,Durgapur,West Bengal,India,중앙아시아,OFF-EN-10002757,사무용품,봉투,"Ames Interoffice Envelope, Security-Tint",95.04,2,0,13.26
256,ID-2020-69114,2020-05-02,2020-05-07,표준 등급,KH-16690,Kristen Hastings,기업,Bangkok,Bangkok,Thailand,동남아시아,OFF-ST-10001755,사무용품,보관함,"Smead Lockers, Single Width",631.071,6,0.47,-23.949
257,ID-2020-69114,2020-05-02,2020-05-07,표준 등급,KH-16690,Kristen Hastings,기업,Bangkok,Bangkok,Thailand,동남아시아,OFF-SU-10002306,사무용품,사무용품,"Elite Scissors, Steel",23.2458,2,0.47,-10.5342
258,ID-2020-73069,2020-09-18,2020-09-18,당일,JF-15565,Jill Fjeld,일반 소비자,Melbourne,Victoria,Australia,오세아니아,OFF-PA-10001236,사무용품,용지,"Enermax Message Books, Recycled",40.338,2,0.1,-1.842
259,ID-2020-73069,2020-09-18,2020-09-18,당일,JF-15565,Jill Fjeld,일반 소비자,Melbourne,Victoria,Australia,오세아니아,FUR-BO-10002387,가구,책장,"Safco Library with Doors, Metal",1751.625,5,0.1,38.925
260,ID-2020-73069,2020-09-18,2020-09-18,당일,JF-15565,Jill Fjeld,일반 소비자,Melbourne,Victoria,Australia,오세아니아,TEC-PH-10003823,기술,전화기,"Apple Headset, Full Size",201.285,3,0.1,64.845
261,ID-2020-73069,2020-09-18,2020-09-18,당일,JF-15565,Jill Fjeld,일반 소비자,Melbourne,Victoria,Australia,오세아니아,OFF-BI-10003142,사무용품,바인더,"Acco Binder Covers, Clear",34.506,3,0.1,-3.834
262,ID-2020-73069,2020-09-18,2020-09-18,당일,JF-15565,Jill Fjeld,일반 소비자,Melbourne,Victoria,Australia,오세아니아,OFF-AR-10003046,사무용품,미술용품,"Sanford Sketch Pad, Fluorescent",84.132,2,0.1,18.672
263,IN-2021-57837,2021-09-19,2021-09-21,2등급,CS-12130,Chad Sievert,일반 소비자,Melbourne,Victoria,Australia,오세아니아,FUR-BO-10001212,가구,책장,"Safco Classic Bookcase, Mobile",1586.412,4,0.1,17.532
264,ID-2018-29368,2018-11-06,2018-11-10,표준 등급,SV-20365,Seth Vernon,일반 소비자,Lahore,Punjab,Pakistan,중앙아시아,OFF-SU-10000207,사무용품,사무용품,"Kleencut Box Cutter, High Speed",121.275,7,0.5,-63.105
265,IN-2020-59867,2020-09-12,2020-09-17,표준 등급,EP-13915,Emily Phan,일반 소비자,Jamshedpur,Jharkhand,India,중앙아시아,OFF-BI-10004181,사무용품,바인더,"Avery 3-Hole Punch, Clear",109.32,4,0,12
266,IN-2018-18098,2018-07-09,2018-07-14,표준 등급,CM-11830,Cari MacIntyre,기업,Perth,Western Australia,Australia,오세아니아,OFF-AR-10004990,사무용품,미술용품,"Boston Highlighters, Blue",50.949,3,0.1,20.889
267,ID-2020-49143,2020-03-30,2020-04-03,표준 등급,RO-19780,Rose O'Brian,일반 소비자,Probolinggo,Jawa Timur,Indonesia,동남아시아,FUR-FU-10000735,가구,사무용 집기,"Tenex Frame, Erganomic",158.556,2,0.27,-26.064
268,IN-2020-75897,2020-12-21,2020-12-28,표준 등급,TT-21460,Tonja Turnell,홈 오피스,Mildura,Victoria,Australia,오세아니아,OFF-SU-10000216,사무용품,사무용품,"Stiletto Ruler, Steel",12.852,1,0.1,2.562
269,IN-2018-43718,2018-02-26,2018-02-28,1등급,DF-13135,David Flashing,일반 소비자,Funabashi,Chiba,Japan,북아시아,OFF-SU-10003863,사무용품,사무용품,"Kleencut Letter Opener, High Speed",79.38,3,0,25.38
270,ID-2018-60882,2018-02-02,2018-02-04,2등급,GD-14590,Giulietta Dortch,기업,Bangkok,Bangkok,Thailand,동남아시아,FUR-CH-10003950,가구,의자,"Novimex Executive Leather Armchair, Black",334.3035,1,0.27,-109.9365
271,ID-2018-60882,2018-02-02,2018-02-04,2등급,GD-14590,Giulietta Dortch,기업,Bangkok,Bangkok,Thailand,동남아시아,OFF-LA-10000950,사무용품,레이블,"Avery Color Coded Labels, 5000 Label Set",43.5024,6,0.47,-26.3376
272,ID-2018-60882,2018-02-02,2018-02-04,2등급,GD-14590,Giulietta Dortch,기업,Bangkok,Bangkok,Thailand,동남아시아,OFF-AR-10003554,사무용품,미술용품,"Stanley Canvas, Blue",104.8764,4,0.47,-47.5236
273,IN-2021-10475,2021-07-11,2021-07-14,2등급,TH-21100,Thea Hendricks,일반 소비자,Madurai,Tamil Nadu,India,중앙아시아,OFF-LA-10000707,사무용품,레이블,"Avery Removable Labels, Adjustable",43.2,5,0,1.2
274,IN-2021-36795,2021-12-27,2021-12-29,1등급,CV-12805,Cynthia Voltz,기업,Pune,Maharashtra,India,중앙아시아,OFF-PA-10000776,사무용품,용지,"Xerox Cards & Envelopes, Premium",179.88,4,0,84.48
275,ID-2019-32350,2019-12-25,2019-12-28,1등급,LT-16765,Larry Tron,일반 소비자,Xianning,Hubei,China,북아시아,OFF-EN-10001157,사무용품,봉투,"Ames Business Envelopes, Security-Tint",161.04,11,0,12.87
276,ID-2019-32350,2019-12-25,2019-12-28,1등급,LT-16765,Larry Tron,일반 소비자,Xianning,Hubei,China,북아시아,TEC-AC-10004773,기술,액세서리,"Memorex Flash Drive, Bluetooth",58.8,2,0,15.84
277,ID-2021-13135,2021-06-19,2021-06-25,표준 등급,JL-15235,Janet Lee,일반 소비자,Surabaya,Jawa Timur,Indonesia,동남아시아,OFF-LA-10001548,사무용품,레이블,"Avery Shipping Labels, Adjustable",20.67,4,0.47,-8.97
278,IN-2021-45174,2021-11-14,2021-11-18,표준 등급,JL-15235,Janet Lee,일반 소비자,Nanning,Guangxi,China,북아시아,OFF-SU-10004008,사무용품,사무용품,"Kleencut Letter Opener, Steel",71.28,3,0,35.64
279,IN-2021-45174,2021-11-14,2021-11-18,표준 등급,JL-15235,Janet Lee,일반 소비자,Nanning,Guangxi,China,북아시아,FUR-BO-10004529,가구,책장,"Sauder 3-Shelf Cabinet, Pine",840.15,5,0,100.8
280,IN-2021-45174,2021-11-14,2021-11-18,표준 등급,JL-15235,Janet Lee,일반 소비자,Nanning,Guangxi,China,북아시아,OFF-ST-10004830,사무용품,보관함,"Eldon Lockers, Blue",593.73,3,0,11.79
281,IN-2021-45174,2021-11-14,2021-11-18,표준 등급,JL-15235,Janet Lee,일반 소비자,Nanning,Guangxi,China,북아시아,FUR-BO-10004529,가구,책장,"Sauder 3-Shelf Cabinet, Pine",168.03,1,0,20.16
282,IN-2021-45174,2021-11-14,2021-11-18,표준 등급,JL-15235,Janet Lee,일반 소비자,Nanning,Guangxi,China,북아시아,TEC-MA-10004421,기술,사무기기,"Konica Inkjet, Wireless",2194.92,7,0,1031.52
283,IN-2021-45174,2021-11-14,2021-11-18,표준 등급,JL-15235,Janet Lee,일반 소비자,Nanning,Guangxi,China,북아시아,OFF-EN-10001789,사무용품,봉투,"Kraft Peel and Seal, Set of 50",102.45,5,0,8.1
284,IN-2021-45174,2021-11-14,2021-11-18,표준 등급,JL-15235,Janet Lee,일반 소비자,Nanning,Guangxi,China,북아시아,FUR-BO-10002736,가구,책장,"Sauder Stackable Bookrack, Mobile",1174.56,8,0,187.92
285,IN-2021-45174,2021-11-14,2021-11-18,표준 등급,JL-15235,Janet Lee,일반 소비자,Nanning,Guangxi,China,북아시아,TEC-CO-10000794,기술,복사기,"Hewlett Wireless Fax, High-Speed",378.39,1,0,151.35
286,IN-2021-45174,2021-11-14,2021-11-18,표준 등급,JL-15235,Janet Lee,일반 소비자,Nanning,Guangxi,China,북아시아,OFF-LA-10004756,사무용품,레이블,"Avery Removable Labels, Laser Printer Compatible",32.22,3,0,13.14
287,IN-2018-23530,2018-11-10,2018-11-12,1등급,AS-10285,Alejandro Savely,기업,Kanpur,Uttar Pradesh,India,중앙아시아,TEC-PH-10004261,기술,전화기,"Nokia Signal Booster, Full Size",275.58,2,0,77.16
288,IN-2018-23530,2018-11-10,2018-11-12,1등급,AS-10285,Alejandro Savely,기업,Kanpur,Uttar Pradesh,India,중앙아시아,OFF-PA-10000579,사무용품,용지,"Xerox Computer Printout Paper, Recycled",183.75,7,0,64.26
289,IN-2018-23530,2018-11-10,2018-11-12,1등급,AS-10285,Alejandro Savely,기업,Kanpur,Uttar Pradesh,India,중앙아시아,FUR-CH-10004694,가구,의자,"Office Star Rocking Chair, Black",969.36,7,0,348.81
290,IN-2018-24055,2018-10-27,2018-11-01,표준 등급,TB-21520,Tracy Blumstein,일반 소비자,Pekanbaru,Riau,Indonesia,동남아시아,OFF-AP-10003598,사무용품,가전 제품,"Breville Refrigerator, Red",862.0878,2,0.17,114.2478
292,IN-2018-10419,2018-05-07,2018-05-13,표준 등급,AS-10285,Alejandro Savely,기업,Zhumadian,Henan,China,북아시아,TEC-AC-10003895,기술,액세서리,"Enermax Mouse, Bluetooth",161.16,4,0,70.8
293,IN-2018-10419,2018-05-07,2018-05-13,표준 등급,AS-10285,Alejandro Savely,기업,Zhumadian,Henan,China,북아시아,TEC-MA-10000317,기술,사무기기,"StarTech Receipt Printer, Red",323.19,3,0,6.39
294,IN-2018-10419,2018-05-07,2018-05-13,표준 등급,AS-10285,Alejandro Savely,기업,Zhumadian,Henan,China,북아시아,OFF-BI-10003475,사무용품,바인더,"Wilson Jones Index Tab, Recycled",40.86,6,0,18.72
295,IN-2018-10419,2018-05-07,2018-05-13,표준 등급,AS-10285,Alejandro Savely,기업,Zhumadian,Henan,China,북아시아,TEC-PH-10003927,기술,전화기,"Nokia Audio Dock, with Caller ID",166.74,1,0,63.36
296,ID-2021-58418,2021-12-31,2022-01-02,1등급,JA-15970,Joseph Airdo,일반 소비자,Anqing,Anhui,China,북아시아,OFF-AR-10002389,사무용품,미술용품,"Binney & Smith Pens, Fluorescent",39.6,3,0,6.66
297,ID-2019-79810,2019-09-27,2019-10-01,표준 등급,DP-13105,Dave Poirier,기업,대전,대전,South Korea,북아시아,OFF-FA-10000899,사무용품,잠금장치,"Stockwell Clamps, 12 Pack",18.27,2,0.5,-0.03
298,ID-2020-22025,2020-10-10,2020-10-14,표준 등급,TS-21655,Trudy Schmidt,일반 소비자,Bandung,Jawa Barat,Indonesia,동남아시아,TEC-CO-10000821,기술,복사기,"Canon Ink, High-Speed",675.8775,5,0.07,-43.6725
299,IN-2021-23383,2021-06-24,2021-06-26,2등급,EM-14065,Erin Mull,일반 소비자,Wenzhou,Zhejiang,China,북아시아,OFF-EN-10001976,사무용품,봉투,"Jiffy Interoffice Envelope, Security-Tint",146.52,3,0,40.95
300,IN-2019-24027,2019-08-09,2019-08-15,표준 등급,RD-19585,Rob Dowd,일반 소비자,Zhuhai,Guangdong,China,북아시아,TEC-AC-10001348,기술,액세서리,"Logitech Router, Bluetooth",494.64,2,0,4.92
301,IN-2019-24027,2019-08-09,2019-08-15,표준 등급,RD-19585,Rob Dowd,일반 소비자,Zhuhai,Guangdong,China,북아시아,OFF-AP-10002371,사무용품,가전 제품,"KitchenAid Blender, Silver",1285.05,13,0,552.24
302,IN-2019-24027,2019-08-09,2019-08-15,표준 등급,RD-19585,Rob Dowd,일반 소비자,Zhuhai,Guangdong,China,북아시아,TEC-CO-10000825,기술,복사기,"Brother Ink, Color",297.48,2,0,14.82
303,ID-2020-70122,2020-06-12,2020-06-16,표준 등급,AD-10180,Alan Dominguez,홈 오피스,Jakarta,Jakarta,Indonesia,동남아시아,FUR-TA-10001386,가구,테이블,"Lesro Conference Table, Fully Assembled",2276.4825,5,0.47,-472.5675
304,ID-2020-70122,2020-06-12,2020-06-16,표준 등급,AD-10180,Alan Dominguez,홈 오피스,Jakarta,Jakarta,Indonesia,동남아시아,OFF-BI-10003031,사무용품,바인더,"Acco Index Tab, Economy",25.0992,3,0.17,5.1192
305,ID-2020-70122,2020-06-12,2020-06-16,표준 등급,AD-10180,Alan Dominguez,홈 오피스,Jakarta,Jakarta,Indonesia,동남아시아,FUR-BO-10001461,가구,책장,"Safco Floating Shelf Set, Traditional",548.9046,3,0.07,253.7946
306,ID-2020-70122,2020-06-12,2020-06-16,표준 등급,AD-10180,Alan Dominguez,홈 오피스,Jakarta,Jakarta,Indonesia,동남아시아,OFF-SU-10000885,사무용품,사무용품,"Elite Box Cutter, Steel",36.3474,2,0.47,-30.9126
307,ID-2020-70122,2020-06-12,2020-06-16,표준 등급,AD-10180,Alan Dominguez,홈 오피스,Jakarta,Jakarta,Indonesia,동남아시아,FUR-CH-10002061,가구,의자,"Harbour Creations Executive Leather Armchair, Red",3126.4002,9,0.27,-128.7198
308,ID-2020-70122,2020-06-12,2020-06-16,표준 등급,AD-10180,Alan Dominguez,홈 오피스,Jakarta,Jakarta,Indonesia,동남아시아,OFF-ST-10002834,사무용품,보관함,"Smead File Cart, Single Width",106.9704,1,0.17,5.1504
309,IN-2019-60644,2019-05-04,2019-05-09,표준 등급,SM-20005,Sally Matthias,일반 소비자,Melbourne,Victoria,Australia,오세아니아,OFF-SU-10004846,사무용품,사무용품,"Acme Box Cutter, Serrated",62.1,2,0.1,12.42
310,ID-2020-71487,2020-08-23,2020-08-29,표준 등급,HG-15025,Hunter Glantz,일반 소비자,부천,경기,South Korea,북아시아,OFF-ST-10003837,사무용품,보관함,"Tenex Lockers, Single Width",408.36,4,0.5,-294.12
311,ID-2020-13422,2020-12-21,2020-12-24,1등급,AG-10765,Anthony Garverick,홈 오피스,Mumbai,Maharashtra,India,중앙아시아,FUR-TA-10004416,가구,테이블,"Bevis Wood Table, Adjustable Height",535.8,2,0.5,-96.48
312,IN-2019-67931,2019-05-16,2019-05-21,표준 등급,JF-15190,Jamie Frazer,일반 소비자,Sydney,New South Wales,Australia,오세아니아,FUR-BO-10000203,가구,책장,"Sauder Library with Doors, Metal",2438.667,7,0.1,867.027
313,ID-2019-70843,2019-09-06,2019-09-09,2등급,AB-10255,Alejandro Ballentine,홈 오피스,Hanoi,Thủ Dô Hà Nội,Vietnam,동남아시아,FUR-TA-10000962,가구,테이블,"Hon Conference Table, Adjustable Height",794.3562,2,0.57,-609.6438
314,ID-2019-70843,2019-09-06,2019-09-09,2등급,AB-10255,Alejandro Ballentine,홈 오피스,Hanoi,Thủ Dô Hà Nội,Vietnam,동남아시아,TEC-AC-10000866,기술,액세서리,"Belkin Router, Erganomic",1223.7912,9,0.47,-692.9388
315,IN-2021-61932,2021-04-17,2021-04-17,당일,HA-14920,Helen Andreada,일반 소비자,Wuhai,Inner Mongolia,China,북아시아,OFF-ST-10000351,사무용품,보관함,"Smead Shelving, Wire Frame",192,4,0,1.92
316,IN-2021-61932,2021-04-17,2021-04-17,당일,HA-14920,Helen Andreada,일반 소비자,Wuhai,Inner Mongolia,China,북아시아,TEC-PH-10001457,기술,전화기,"Apple Smart Phone, Full Size",1275,2,0,140.22
317,IN-2021-61932,2021-04-17,2021-04-17,당일,HA-14920,Helen Andreada,일반 소비자,Wuhai,Inner Mongolia,China,북아시아,FUR-FU-10004820,가구,사무용 집기,"Advantus Photo Frame, Erganomic",103.2,2,0,44.34
318,IN-2021-78725,2021-10-02,2021-10-06,표준 등급,NF-18385,Natalie Fritzler,일반 소비자,Dhaka,Dhaka,Bangladesh,중앙아시아,TEC-PH-10001670,기술,전화기,"Motorola Smart Phone, Full Size",2575.92,4,0,978.84
319,ID-2018-61876,2018-02-09,2018-02-15,표준 등급,DR-12940,Daniel Raglin,홈 오피스,대전,대전,South Korea,북아시아,FUR-TA-10004050,가구,테이블,"Lesro Coffee Table, Fully Assembled",202.776,4,0.8,-304.224
320,ID-2018-61876,2018-02-09,2018-02-15,표준 등급,DR-12940,Daniel Raglin,홈 오피스,대전,대전,South Korea,북아시아,OFF-ST-10003306,사무용품,보관함,"Eldon File Cart, Single Width",256.74,4,0.5,-205.5
321,ID-2018-61876,2018-02-09,2018-02-15,표준 등급,DR-12940,Daniel Raglin,홈 오피스,대전,대전,South Korea,북아시아,TEC-MA-10000684,기술,사무기기,"Okidata Calculator, White",25.35,1,0.5,-20.79
322,ID-2018-61876,2018-02-09,2018-02-15,표준 등급,DR-12940,Daniel Raglin,홈 오피스,대전,대전,South Korea,북아시아,OFF-BI-10002632,사무용품,바인더,"Acco Binding Machine, Recycled",25.725,1,0.5,-11.835
323,ID-2019-59384,2019-08-11,2019-08-17,표준 등급,LP-17080,Liz Pelletier,일반 소비자,Jakarta,Jakarta,Indonesia,동남아시아,OFF-PA-10003020,사무용품,용지,"Xerox Message Books, Premium",21.5922,2,0.47,-13.4478
324,ID-2019-59384,2019-08-11,2019-08-17,표준 등급,LP-17080,Liz Pelletier,일반 소비자,Jakarta,Jakarta,Indonesia,동남아시아,OFF-ST-10003141,사무용품,보관함,"Fellowes Trays, Industrial",192.1284,4,0.17,4.5684
325,ID-2019-59384,2019-08-11,2019-08-17,표준 등급,LP-17080,Liz Pelletier,일반 소비자,Jakarta,Jakarta,Indonesia,동남아시아,FUR-CH-10002213,가구,의자,"Hon Executive Leather Armchair, Black",1001.1366,3,0.27,-233.2134
326,IN-2021-54211,2021-01-17,2021-01-21,표준 등급,KB-16315,Karl Braun,일반 소비자,Bekasi,Jawa Barat,Indonesia,동남아시아,OFF-BI-10004869,사무용품,바인더,"Avery 3-Hole Punch, Recycled",93.7236,4,0.17,34.9236
327,IN-2021-54211,2021-01-17,2021-01-21,표준 등급,KB-16315,Karl Braun,일반 소비자,Bekasi,Jawa Barat,Indonesia,동남아시아,OFF-AR-10000762,사무용품,미술용품,"BIC Pens, Water Color",50.9832,4,0.27,-1.4568
328,IN-2019-11028,2019-11-24,2019-11-29,표준 등급,LC-16885,Lena Creighton,일반 소비자,Shantou,Guangdong,China,북아시아,OFF-BI-10004868,사무용품,바인더,"Wilson Jones Hole Reinforcements, Durable",18.09,3,0,0.54
329,IN-2019-11028,2019-11-24,2019-11-29,표준 등급,LC-16885,Lena Creighton,일반 소비자,Shantou,Guangdong,China,북아시아,OFF-AR-10002797,사무용품,미술용품,"Sanford Highlighters, Blue",47.25,3,0,14.13
330,IN-2021-78991,2021-11-27,2021-11-29,2등급,JF-15355,Jay Fein,일반 소비자,Lucknow,Uttar Pradesh,India,중앙아시아,OFF-BI-10003340,사무용품,바인더,"Acco Index Tab, Durable",26.82,3,0,6.12
331,IN-2018-47533,2018-05-27,2018-06-02,표준 등급,BD-11770,Bryan Davis,일반 소비자,Chennai,Tamil Nadu,India,중앙아시아,OFF-SU-10001709,사무용품,사무용품,"Kleencut Scissors, High Speed",44.58,2,0,19.14
332,IN-2018-19330,2018-01-08,2018-01-12,2등급,NF-18595,Nicole Fjeld,홈 오피스,Kunming,Yunnan,China,북아시아,TEC-MA-10002468,기술,사무기기,"Panasonic Inkjet, White",2173.5,7,0,260.82
333,ID-2019-33743,2019-06-30,2019-07-07,표준 등급,JF-15190,Jamie Frazer,일반 소비자,Palembang,Sumatera Selatan,Indonesia,동남아시아,FUR-FU-10003451,가구,사무용 집기,"Eldon Frame, Black",84.8625,1,0.27,-22.0875
334,ID-2019-33743,2019-06-30,2019-07-07,표준 등급,JF-15190,Jamie Frazer,일반 소비자,Palembang,Sumatera Selatan,Indonesia,동남아시아,OFF-ST-10002066,사무용품,보관함,"Smead File Cart, Blue",529.0005,5,0.17,76.4505
335,ID-2018-45804,2018-11-24,2018-11-29,표준 등급,PG-18820,Patrick Gardner,일반 소비자,Pontianak,Kalimantan Barat,Indonesia,동남아시아,OFF-SU-10003221,사무용품,사무용품,"Acme Trimmer, Easy Grip",97.944,4,0.47,-75.816
336,ID-2018-45804,2018-11-24,2018-11-29,표준 등급,PG-18820,Patrick Gardner,일반 소비자,Pontianak,Kalimantan Barat,Indonesia,동남아시아,FUR-CH-10001138,가구,의자,"Office Star Swivel Stool, Black",250.4046,2,0.27,47.9646
337,IN-2021-59650,2021-11-03,2021-11-05,1등급,AW-10930,Arthur Wiediger,홈 오피스,Guwahati,Assam,India,중앙아시아,OFF-BI-10002853,사무용품,바인더,"Avery Binder Covers, Recycled",22.86,2,0,10.74
338,ID-2020-69534,2020-10-23,2020-10-25,2등급,DB-13210,Dean Braden,일반 소비자,Hobart,Tasmania,Australia,오세아니아,FUR-CH-10000351,가구,의자,"Novimex Chairmat, Set of Two",70.308,2,0.4,-3.552
339,ID-2020-69534,2020-10-23,2020-10-25,2등급,DB-13210,Dean Braden,일반 소비자,Hobart,Tasmania,Australia,오세아니아,OFF-SU-10003515,사무용품,사무용품,"Acme Shears, Serrated",55.944,2,0.4,-27.096
